Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-11T18:06:22.621Z;Santiago;-27.391909;-56.856619;100;Partido Colorado;11 y santiago.csv
2026-04-11T17:14:21.971Z;Santiago;-27.391913;-56.862876;Virgen del pilar ;Partido Colorado;11 y santiago.csv
2026-04-11T17:59:53.224Z;Santiago;-27.391938;-56.857687;Santa ana 100;Partido Colorado;11 y santiago.csv
2026-04-11T18:04:43.859Z;Santiago;-27.391941;-56.85664;100;;11 y santiago.csv
2026-04-11T14:28:14.827Z;Santiago;-27.39195;-56.844605;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T14:44:00.924Z;;-27.391969;-56.844674;San antonio;Partido Colorado;11 y santiago.csv
2026-04-11T14:34:12.116Z;;-27.39267;-56.845875;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T14:39:56.724Z;;-27.3931;-56.846468;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T15:03:03.451Z;;-27.393291;-56.846926;San antonio;Partido Colorado;11 y santiago.csv
2026-04-11T14:48:24.392Z;;-27.393354;-56.867883;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T14:48:57.658Z;Santiago;-27.393428;-56.847008;;;11 y santiago.csv
2026-04-11T14:51:31.216Z;;-27.393442;-56.867547;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T14:43:52.396Z;;-27.393695;-56.867633;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T14:56:35.208Z;;-27.393947;-56.867288;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T14:59:30.375Z;;-27.394264;-56.867367;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:08:32.046Z;;-27.394757;-56.849401;San antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:34:37.110Z;;-27.394867;-56.865441;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:10:33.866Z;;-27.394895;-56.866589;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:14:44.430Z;;-27.395114;-56.866476;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:30:16.365Z;;-27.395245;-56.865152;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:19:08.236Z;;-27.395289;-56.866095;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:28:54.615Z;;-27.39529;-56.865085;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:35:55.370Z;;-27.395521;-56.864922;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T17:37:30.594Z;;-27.395663;-56.864838;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T15:22:48.340Z;;-27.395998;-56.866441;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:24:05.911Z;;-27.396023;-56.864466;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:25:54.248Z;;-27.396289;-56.866568;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:12:12.132Z;;-27.396291;-56.851313;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:26:52.571Z;;-27.396504;-56.864202;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T17:19:16.350Z;;-27.396509;-56.864088;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:36:06.702Z;;-27.396535;-56.865311;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:16:39.950Z;;-27.396599;-56.851778;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T15:15:03.638Z;;-27.396627;-56.85159;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:19:38.407Z;;-27.396817;-56.863589;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T15:19:50.996Z;;-27.396894;-56.852118;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:22:51.458Z;;-27.39698;-56.863685;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T17:11:34.860Z;;-27.397236;-56.862088;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:22:08.477Z;;-27.397347;-56.864286;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:08:49.555Z;;-27.397419;-56.861589;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:16:30.676Z;;-27.397575;-56.863541;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:19:40.541Z;;-27.397582;-56.852833;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:05:08.715Z;;-27.397645;-56.860787;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:12:37.063Z;;-27.397702;-56.861123;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T15:22:36.066Z;;-27.397733;-56.853121;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:02:57.966Z;;-27.397735;-56.86069;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:30:28.254Z;;-27.397772;-56.863459;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:06:34.425Z;;-27.397781;-56.863492;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:06:26.228Z;;-27.397888;-56.860416;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T16:57:37.441Z;;-27.397894;-56.860098;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T15:26:14.526Z;;-27.397899;-56.85338;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T15:27:51.535Z;;-27.397969;-56.853777;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T15:29:44.279Z;;-27.398156;-56.853911;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:03:15.839Z;;-27.398201;-56.862759;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T16:58:12.181Z;;-27.398238;-56.859226;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T17:12:54.628Z;;-27.398253;-56.861625;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T17:22:19.484Z;;-27.398335;-56.862531;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T16:59:08.766Z;;-27.398457;-56.861495;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T16:55:09.728Z;;-27.398585;-56.858512;Lima ;Partido Colorado;11 y santiago.csv
2026-04-11T17:06:07.373Z;;-27.398615;-56.860751;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T16:59:47.886Z;;-27.398846;-56.859632;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T16:54:49.913Z;;-27.399091;-56.859556;Lima;Partido Colorado;11 y santiago.csv
2026-04-11T14:18:43.238Z;;-27.404006;-56.861835;San José Mí;Partido Colorado;11 y santiago.csv
2026-04-11T14:21:45.836Z;;-27.404114;-56.861741;San José Mí;Partido Colorado;11 y santiago.csv
