Timestamp;ENCUESTADOR ;;Datos DemogrÃ¡ficos (Seleccione mÃºltiples);Â¿A quÃ© partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o CompaÃ±Ã­a;CalificaciÃ³n: GestiÃ³n del Intendente Municipal;CalificaciÃ³n: GestiÃ³n del Presidente de la RepÃºblica;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;Â¿QuÃ© servicio pÃºblico debe mejorar la municipalidad?
2026-04-11T19:00:27.312Z;;;Mujer,Joven;Partido Colorado;-273.792.488;-568.468.371;Sirena;Buena;Excelente;Christian Rolon;Ninguna ;Centro de salud 
2026-04-11T18:52:27.124Z;;;;Partido Colorado;-273.796.291;-56.843.838;Sirena;Muy Mala;Muy Mala;;Denis dior;Todo
2026-04-11T18:55:53.377Z;;;;Partido Colorado;-273.796.584;-568.432.053;Sirena;Mala;Mala;Jose Mutti;;
2026-04-11T18:59:25.876Z;;;;Partido Colorado;-273.797.502;-568.420.503;;Buena;Muy Mala;Jose Mutti;Hugo ramirez;Todo
2026-04-13T15:39:02.717Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.817.207;-568.406.427;NÃºcleo 5;Buena;Buena;Christian Rolon;Miguel marin;RecolecciÃ³n y limpieza 
2026-04-13T15:34:10.614Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.817.968;-568.401.427;NÃºcleo 5;Muy Mala;Muy Mala;Jose Mutti;;Todo 
2026-04-13T15:28:41.722Z;Santiago;;Mujer,Mayor;Partido Colorado;-27.381.852;-568.389.643;NÃºcleo 5;Excelente;Buena;Christian Rolon;Daniel maciel ;Electricidad 
2026-04-13T15:44:04.357Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.821.033;-568.422.124;NÃºcleo 5;Mala;Muy Mala;Christian Rolon;Arnaldo cardozo ;Sueldos agua recolecciÃ³n 
2026-04-13T11:35:15.366Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.821.407;-568.445.543;;Buena;Mala;;Hugiyo ramirez ;Agua y luz 
2026-04-13T14:52:47.343Z;Santiago;;;Partido Colorado;-273.825.808;-56.841.653;NÃºcleo 5;Mala;Muy Mala;Jose Mutti;Carlos ramirez;Trabajos 
2026-04-13T15:17:53.334Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.826.179;-568.386.338;NÃºcleo 5;Muy Mala;Muy Mala;;;Todo 
2026-04-13T15:15:14.979Z;Santiago;;Varón,Mayor;Partido Colorado;-273.826.815;-568.391.745;NÃºcleo 5;Buena;Buena;Christian Rolon;William aquino;Salud 
2026-04-13T14:47:06.068Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.827.022;-568.422.322;NÃºcleo 5;Mala;Mala;Jose Mutti;;Trabajos 
2026-04-13T15:19:57.596Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.827.637;-568.384.041;;Mala;Muy Mala;Jose Mutti;;Todo 
2026-04-13T15:00:39.645Z;Santiago;;Adulto Mayor,Mujer;Partido Colorado;-273.827.682;-568.409.035;NÃºcleo 5;Buena;Mala;;;Limpieza y recolecciÃ³n 
2026-04-13T15:07:34.998Z;Santiago;;Mayor,Mujer;Partido Colorado;-273.827.994;-568.399.851;NÃºcleo 5;Muy Mala;Muy Mala;Jose Mutti;Arnaldo cardozo ;RecolecciÃ³n 
2026-04-13T11:48:18.590Z;Santiago;;Mujer,Joven;Partido Colorado;-27.383.328;-568.457.922;Lote 4 ;Muy Mala;Muy Mala;;;Todo 
2026-04-13T12:02:52.060Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.835.497;-568.443.725;NÃºcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo 
2026-04-13T13:05:51.526Z;Santiago;;Mujer,Joven;Partido Colorado;-273.838.107;-568.479.798;NÃºcleo 2;Mala;Buena;;;RecolecciÃ³n de basura, cuidado a las infraestructuras
2026-04-13T13:01:03.409Z;Santiago;;;;-273.841.358;-568.484.997;NÃºcleo 2;Mala;Mala;Jose Mutti;Ramirez ;Salud, hambre 
2026-04-13T12:40:12.149Z;Santiago;;Mujer,Mayor;;-273.841.679;-568.469.644;NÃºcleo 2;Muy Mala;Muy Mala;;;Todo 
2026-04-13T12:13:53.574Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.843.334;-568.446.374;NÃºcleo 1;Buena;Buena;Jose Mutti;;RecolecciÃ³n de basura 
2026-04-13T12:35:44.527Z;Santiago;;Mujer,Adulto Mayor;Partido Colorado;-273.844.965;-568.472.121;;Buena;Mala;Christian Rolon;;Todo 
2026-04-13T12:54:10.454Z;Santiago;;Mujer,Joven;Partido Colorado;-273.848.741;-568.483.451;NÃºcleo 2;Mala;Buena;Jose Mutti;;Agua
2026-04-13T12:32:31.134Z;Santiago;;Adulto Mayor,Varón;Partido Colorado;-273.851.235;-568.477.513;NÃºcleo 2;Mala;Mala;Jose Mutti;Miguel savala ;Trabajos 
2026-04-13T13:32:28.428Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.855.706;-568.501.524;NÃºcleo 4;Muy Mala;Mala;Jose Mutti;Hugo ramirez;RecolecciÃ³n 
2026-04-13T13:29:29.433Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.857.749;-56.850.393;NÃºcleo 4;Buena;Buena;;Ingrid ;RecolecciÃ³n 
2026-04-13T14:11:10.597Z;Santiago;;Mujer,Adulto Mayor;Partido Colorado;-273.858.806;-568.447.424;NÃºcleo 3;Mala;Mala;;;Todo 
